entity	type	frequency
ui	ORG	19
congress	ORG	9
remix	PERSON	7
daw	ORG	6
safari	GPE	5
wav	ORG	4
brian foo	PERSON	3
fma	ORG	3
iphone	ORG	3
ai	ORG	2
awesome	ORG	2
ableton	GPE	2
ableton live	PERSON	2
brian	PERSON	2
fl studio	PERSON	2
redacted	ORG	2
soundcloud	ORG	2
ux	ORG	2
wor	ORG	2
youtube	ORG	2
america	GPE	2
kinda	GPE	2
1/16h	PERSON	1
amazing	ORG	1
adelaide	GPE	1
adobe audition	ORG	1
adobe premiere	ORG	1
aif	PERSON	1
akai mpc	ORG	1
alex chen	PERSON	1
all of me	PERSON	1
american dialect	ORG	1
android	GPE	1
audacity	ORG	1
australia	GPE	1
awesome	ORG	1
b.b.	GPE	1
bb king	ORG	1
bb king interview	ORG	1
bpm	ORG	1
bancroft	PERSON	1
beatmaker	ORG	1
belle baker''s	PERSON	1
brian eno	PERSON	1
brooklyn	GPE	1
c''mon	PERSON	1
covid	ORG	1
california	GPE	1
chromebook	ORG	1
chromebooks	ORG	1
cititzen	ORG	1
crate	ORG	1
curious	PERSON	1
dj/produce	ORG	1
deadmau5	PERSON	1
dialect	PERSON	1
digital	ORG	1
digital archivist	ORG	1
discord	ORG	1
edm	ORG	1
excellent	ORG	1
eleanor roosevelt	PERSON	1
ellie greenwich	PERSON	1
eric j dubowsky	PERSON	1
explore	ORG	1
fantastic	ORG	1
fb	ORG	1
flac	ORG	1
fun great	ORG	1
fantastic resource	PERSON	1
fing	PERSON	1
freesound	PERSON	1
fruity loops	GPE	1
garageband	ORG	1
garageband	ORG	1
google	ORG	1
gotye	GPE	1
hs	ORG	1
huge	ORG	1
hip-hop	PERSON	1
ig	ORG	1
ii	ORG	1
insane	ORG	1
inspirational	ORG	1
iphone	ORG	1
itbwas	ORG	1
joe smith	PERSON	1
john lomax	PERSON	1
linn	ORG	1
love	ORG	1
library	PERSON	1
linndrum	ORG	1
loc	ORG	1
loved	ORG	1
mpc	ORG	1
mac	PERSON	1
mix	GPE	1
mobile	GPE	1
music business	LOC	1
ny times	ORG	1
national archives australia	ORG	1
new york times	ORG	1
new zealand amazing	ORG	1
pii-redacted	ORG	1
rage beat$	PERSON	1
reason studio	PERSON	1
sarcastic	ORG	1
searchable	ORG	1
slight	ORG	1
soundcloud	PERSON	1
splice	ORG	1
steve duda	PERSON	1
teaching arts	ORG	1
tempo	ORG	1
ty	PERSON	1
us	GPE	1
usa	GPE	1
vet yr employer &	ORG	1
way	ORG	1
whole	ORG	1
wav	PERSON	1
windows media player	PERSON	1
xln	ORG	1
xo	ORG	1
yellofier	ORG	1
a logic pro	PERSON	1
ableton	GPE	1
bass drum	PERSON	1
bin	PERSON	1
bolero, cumbia	ORG	1
boom bap	PERSON	1
bpm	ORG	1
button	GPE	1
congress	ORG	1
disco	ORG	1
gargeband	GPE	1
"hold""y"	ORG	1
house	ORG	1
https://open.spotify.com/artist/6hclqqhqlj6kpzmrqnl05v?si=gwozz8_eqeg6wzu0f2zuag thanx	PERSON	1
ios	GPE	1
itunes	ORG	1
iphonex	ORG	1
keyboard navigation	ORG	1
kinda slippery	PERSON	1
lol	ORG	1
musician n/	ORG	1
nav	ORG	1
nice!-old	ORG	1
reggaeton	GPE	1
safari	GPE	1
"the ""browse & download"""	ORG	1
the creative lab	ORG	1
the open source and creative commons	ORG	1
the record/slice	ORG	1
the united states	GPE	1
timey	ORG	1
triangle	ORG	1
united states	GPE	1
wav	PERSON	1
ðŸ¤ª	PERSON	1
