proper	frequency
dj	29
citizen	20
explore	20
ui	19
redacted	17
king	16
loc	12
wav	12
library	11
congress	10
bb	9
hip	9
pii	9
remix	9
safari	8
daw	7
hop	7
ux	7
b.b.	6
brian	6
fun	6
ableton	5
iphone	5
a	4
ai	4
awesome	4
browser	4
s	4
u	4
youtube	4
cool	3
dope	3
download	3
fma	3
foo	3
intro	3
ipad	3
mp3s	3
mpc	3
new	3
producer	3
record	3
soundcloud	3
studio	3
super	3
adobe	2
akai	2
amazing	2
america	2
american	2
android	2
audio	2
australia	2
b	2
bpm	2
browse	2
context	2
creative	2
dialect	2
digital	2
ex	2
fantastic	2
fl	2
garageband	2
google	2
media	2
metadata	2
music	2
n	2
states	2
times	2
united	2
us	2
wor	2
/remix/	1
192kbps	1
320kbps	1
=)	1
about	1
adelaide	1
age	1
aif	1
alex	1
almighty	1
ap	1
apple	1
archive	1
archive.org	1
archives	1
archivist	1
ariel	1
audacity	1
audition	1
aussie	1
avalanches	1
bachata	1
baker	1
bancroft	1
bap	1
beat	1
beat$	1
beatmaker	1
beats	1
belle	1
bit	1
bookmark	1
boom	1
bpms	1
bro	1
brooklyn	1
business	1
c''mon	1
california	1
chen	1
children	1
cititzen	1
classic	1
click	1
clip	1
college	1
commons	1
conceived	1
content	1
control	1
cool--	1
copyright	1
covid	1
crate	1
cumbia	1
cursor	1
deadmau5	1
disco	1
discord	1
drum	1
dubowsky	1
duda	1
edm	1
eg	1
eleanor	1
ellie	1
eno	1
eric	1
f	1
fb	1
feedback	1
fidelity	1
filter	1
firefox	1
flac	1
fmu	1
free	1
freesound	1
fruity	1
fuqqn	1
game)maker	1
gargeband	1
genre	1
girl	1
golden	1
goodnight	1
got	1
gotye	1
greenwich	1
gunga	1
hayward	1
"hold""y"	1
hs	1
http://citizendj.labs.loc.gov.s3-website-us-east-1.amazonaws.com/loc-variety-stage/remix/?itemid=2018620419&itemstart=23220&drumname=akai%20mpc&patternname=80s%20new%20wave%20pattern%20a%20%5b3%5d	1
https://freesound.org/browse/	1
https://open.spotify.com/artist/6hclqqhqlj6kpzmrqnl05v?si=gwozz8_eqeg6wzu0f2zuag	1
huge	1
idea	1
ig	1
ii	1
impeach	1
incredible	1
innovator	1
inspirational	1
interesting	1
interface	1
iphonex	1
itunes	1
j	1
jaijaii	1
joe	1
john	1
k-12	1
l	1
lab	1
law	1
librarian	1
linn	1
linndrum	1
live	1
locs	1
logic	1
lol	1
lomax	1
loops	1
love	1
mac	1
macbook	1
machines	1
madness	1
malcom	1
mark	1
martin	1
mechanic	1
meta	1
midi	1
mobile	1
moooooooooooooore	1
mosiac	1
mozaiek	1
multimode	1
musician	1
na	1
national	1
nope	1
note	1
ny	1
nyc	1
oblique	1
online	1
oosstatus	1
open	1
os	1
p	1
pan	1
pianos	1
play	1
player	1
popping	1
premiere	1
presented	1
pride	1
pro	1
produce	1
program	1
project	1
put	1
queue	1
r	1
rage	1
reason	1
recordings	1
reggaeton	1
remixer	1
residence	1
resource	1
roman	1
roosevelt	1
salsa	1
sample	1
sarcastic	1
se	1
searching	1
sequencer	1
show	1
slight	1
smith	1
some	1
source	1
splice	1
step	1
steve	1
strategies	1
t	1
tab	1
task	1
techno	1
tempo	1
thanx	1
time	1
today?</p	1
tracklib	1
twitch	1
twitter	1
uis	1
usa	1
user	1
w	1
w/	1
well	1
wheaty	1
whole	1
will.i.am	1
windows	1
wonderful	1
x	1
xln	1
xo	1
yellofier	1
york	1
yÂ´all	1
zealand	1
ðŸ¤ª	1
