verb	frequency
is	489
be	364
was	236
have	158
use	155
thank	113
''s	100
love	86
do	84
are	82
''m	79
think	75
make	74
find	73
using	62
did	61
see	61
like	58
am	52
were	50
get	47
download	46
looking	46
play	44
know	38
found	37
making	37
had	34
being	31
figure	31
create	30
does	30
need	29
''ve	28
navigate	28
want	28
hear	27
work	27
click	26
explore	26
been	24
understand	24
has	23
hope	23
look	23
seem	23
doing	22
makes	22
add	21
keep	21
exploring	20
having	20
made	20
search	20
used	20
go	19
select	19
sounds	19
working	19
browsing	18
creating	18
feel	18
seems	18
drag	17
help	17
clicking	16
combine	16
finding	16
going	16
let	16
looks	16
wait	16
''re	15
done	15
downloaded	15
change	14
put	14
wanted	14
browse	13
created	13
listen	13
loved	13
seemed	13
take	13
allow	12
based	12
getting	12
give	12
load	12
move	12
try	12
wish	12
continue	11
dragging	11
enjoyed	11
feels	11
got	11
hold	11
needs	11
playing	11
putting	11
share	11
choose	10
downloading	10
liked	10
provide	10
scroll	10
start	10
thought	10
trying	10
believe	9
missed	9
remix	9
save	9
scrolling	9
stop	9
’s	9
bring	8
built	8
chop	8
enjoy	8
learn	8
mixing	8
recommend	8
recording	8
remixing	8
sample	8
say	8
searching	8
selected	8
started	8
tell	8
build	7
came	7
come	7
felt	7
given	7
hit	7
imagine	7
played	7
record	7
said	7
seeing	7
sound	7
tried	7
went	7
adding	6
beat	6
check	6
chopped	6
edit	6
meant	6
mix	6
moving	6
preview	6
reach	6
shared	6
spend	6
starting	6
stopped	6
wonder	6
worked	6
access	5
adjust	5
appreciate	5
changing	5
comes	5
coming	5
control	5
end	5
inspire	5
lost	5
m	5
open	5
plays	5
provided	5
pull	5
saw	5
sharing	5
show	5
shows	5
suggest	5
taken	5
thinking	5
took	5
’m	5
bet	4
clicked	4
coded	4
combining	4
connect	4
editing	4
engaging	4
expand	4
figured	4
filter	4
goes	4
improve	4
incorporate	4
involved	4
kept	4
listening	4
lose	4
navigating	4
opposed	4
pick	4
press	4
previewing	4
produce	4
promote	4
read	4
reading	4
realize	4
return	4
s	4
sampling	4
set	4
sliced	4
stuck	4
takes	4
tweak	4
utilize	4
wondering	4
works	4
''d	3
accomplish	3
allows	3
asked	3
assume	3
become	3
benefit	3
called	3
collect	3
complete	3
developing	3
discovered	3
embedded	3
executed	3
expanding	3
expect	3
expected	3
fit	3
follow	3
following	3
gave	3
gets	3
grouped	3
guess	3
heard	3
helps	3
highlight	3
holding	3
improved	3
intended	3
killed	3
knew	3
letting	3
loaded	3
loading	3
moved	3
narrow	3
noticed	3
offer	3
organized	3
pay	3
picking	3
prefer	3
presented	3
providing	3
recreate	3
says	3
scrub	3
seen	3
selecting	3
send	3
stay	3
streamline	3
supported	3
supposed	3
taking	3
understood	3
wanting	3
watched	3
zoom	3
’re	3
accessed	2
advertise	2
affecting	2
aimed	2
allowed	2
allowing	2
appear	2
appears	2
appreciated	2
attempting	2
becomes	2
begin	2
blowing	2
bookmark	2
bound	2
breaks	2
bringing	2
broken	2
call	2
cataloging	2
causes	2
challenging	2
checking	2
chosen	2
clip	2
communicate	2
completed	2
completing	2
connecting	2
consider	2
contact	2
decide	2
define	2
depending	2
desired	2
develop	2
dig	2
digging	2
discover	2
discovering	2
disorienting	2
draw	2
driven	2
dropped	2
encourage	2
ended	2
engage	2
excellent	2
exists	2
expanded	2
experienced	2
explaining	2
explored	2
expose	2
extended	2
extending	2
fascinated	2
feature	2
feedback	2
finish	2
fixed	2
forgot	2
freaking	2
generate	2
generated	2
gives	2
giving	2
gone	2
grab	2
grow	2
guessing	2
helped	2
hiding	2
hitting	2
hovering	2
imagined	2
implemented	2
improves	2
include	2
included	2
increase	2
influenced	2
inspired	2
integrate	2
intend	2
interact	2
interview	2
introduce	2
keeps	2
labeled	2
lack	2
launched	2
learning	2
leaving	2
left	2
lets	2
listened	2
locate	2
mess	2
modified	2
named	2
obscured	2
offered	2
organised	2
passed	2
picked	2
placed	2
plan	2
recorded	2
redacted	2
referred	2
remember	2
reminds	2
remixed	2
replace	2
required	2
returning	2
running	2
sampled	2
samples	2
scrubbing	2
separate	2
simplify	2
sizing	2
slows	2
solve	2
sort	2
spent	2
spread	2
stumbled	2
tagged	2
tapping	2
test	2
trigger	2
triggered	2
turn	2
type	2
uncompressed	2
understanding	2
uses	2
view	2
zooming	2
’ve	2
*	1
abandon	1
aborted	1
accessing	1
achieve	1
acquire	1
added	1
admit	1
aligned	1
alter	1
annoyed	1
answers	1
appeared	1
apply	1
arrange	1
arranged	1
arranging	1
ask	1
assemble	1
associate	1
assumed	1
attached	1
attempted	1
automating	1
avoiding	1
balance	1
batch	1
bbe	1
blame	1
blessed	1
blown	1
blustering	1
boggling	1
bookmarked	1
breathing	1
breathtaking	1
broadcast	1
broke	1
browsed	1
bugged	1
building	1
burn	1
burnered	1
button	1
bypass	1
ca	1
catching	1
categorize	1
caught	1
cause	1
causing	1
chain	1
challenge	1
challenged	1
changes	1
cheated	1
cherry	1
chooses	1
choosing	1
chopping	1
clarify	1
cleaning	1
clicks	1
clumped	1
collaborating	1
combined	1
combines	1
compared	1
competing	1
compiling	1
compliments	1
compressed	1
confined	1
confusing	1
connected	1
constraining	1
construct	1
constructing	1
construed	1
consulate	1
contacted	1
contain	1
contained	1
containing	1
continued	1
continues	1
contribute	1
contributed	1
cool	1
cooped	1
coupled	1
creat	1
creeping	1
crop	1
crowdsourcing	1
curated	1
customizing	1
cut	1
deal	1
dedicated	1
defend	1
defined	1
defines	1
democratizing	1
demonstrated	1
described	1
deserves	1
design	1
designed	1
determined	1
developed	1
die	1
dipped	1
disagree	1
disagreed	1
disappear	1
disappearing	1
discern	1
discuss	1
displayed	1
displaying	1
distinguish	1
distorted	1
distracting	1
distributed	1
dive	1
diving	1
dj	1
djing	1
dl	1
donate	1
dove	1
draft	1
drawn	1
drop	1
drops	1
dying	1
educating	1
embed	1
embedding	1
emerging	1
empowering	1
enable	1
encompass	1
encounter	1
encountered	1
encouraging	1
ending	1
enhance	1
enter	1
erupting	1
evaded	1
excited	1
exciting	1
exit	1
expecting	1
experiences	1
experiencing	1
experimented	1
experimenting	1
exported	1
exporting	1
exposing	1
fascinating	1
fast	1
featured	1
feed	1
fight	1
figuring	1
filled	1
filtered	1
filtering	1
fing	1
finished	1
fits	1
fix	1
fleshed	1
flick	1
floating	1
flushed	1
focus	1
focused	1
fold	1
form	1
formatting	1
frustrated	1
function	1
functioned	1
functions	1
fund	1
gaining	1
generates	1
gigging	1
gon	1
gotten	1
gradients	1
grouping	1
growing	1
grows	1
guided	1
handle	1
happened	1
happening	1
happens	1
hearing	1
heightened	1
hides	1
highlighted	1
highlighting	1
hipped	1
hoped	1
hoping	1
hosting	1
hover	1
identify	1
ides	1
import	1
improving	1
incorporating	1
increased	1
indexed	1
injecting	1
inspiring	1
interacts	1
interface	1
interpret	1
intetesting	1
intrigued	1
introduced	1
itbwas	1
jamming	1
jumping	1
jumps	1
keeping	1
knock	1
known	1
knows	1
label	1
lacked	1
lacks	1
lasts	1
launch	1
layer	1
layered	1
layering	1
lays	1
learned	1
leaves	1
lengthen	1
likes	1
limited	1
lines	1
live	1
loads	1
lobbying	1
locked	1
loops	1
losing	1
loving	1
manage	1
managed	1
manipulate	1
manipulated	1
mark	1
matter	1
me-	1
mean	1
meaning	1
mention	1
mentioning	1
messed	1
mind	1
mislabelled	1
miss	1
missing	1
modernised	1
modify	1
modifying	1
motivate	1
mouseover	1
moves	1
muted	1
needed	1
negotiated	1
note	1
notice	1
obliged	1
obtain	1
obtaining	1
offset	1
opened	1
opening	1
opens	1
operate	1
operating	1
optimized	1
optimizing	1
organize	1
organizing	1
output	1
outputs	1
overlapped	1
overwhelmed	1
owns	1
pan	1
panning	1
parameters	1
paying	1
performed	1
performing	1
permit	1
pertains	1
photo	1
picks	1
piece	1
pine	1
place	1
planning	1
point	1
polish	1
pop	1
pops	1
populated	1
ported	1
posted	1
pre	1
predetermined	1
preferred	1
preselected	1
preserved	1
pressed	1
produces	1
promotes	1
proven	1
provides	1
publish	1
purchase	1
push	1
pushed	1
randomised	1
re	1
reacting	1
realized	1
reappearing	1
rearrange	1
recommended	1
recommending	1
refreshing	1
regarding	1
relate	1
related	1
release	1
relies	1
reload	1
rely	1
remark	1
removing	1
rendered	1
represented	1
represents	1
require	1
research	1
resides	1
resize	1
resizing	1
respect	1
restarted	1
restrict	1
resulting	1
resurrect	1
rethought	1
retracing	1
revive	1
revolutionise	1
revolves	1
ride	1
rolled	1
rounding	1
run	1
satisfies	1
saved	1
saving	1
saying	1
scaling	1
scan	1
scare	1
score	1
scratch	1
scrolled	1
scrolls	1
scrubber	1
searched	1
seek	1
seeking	1
sees	1
sequence	1
setting	1
shares	1
sheltering	1
shifts	1
shorten	1
showing	1
shuffle	1
shuffling	1
shut	1
signatures	1
sketch	1
skip	1
skipping	1
slice	1
slicing	1
snare	1
sourced	1
sourcing	1
space	1
spark	1
sparks	1
speak	1
specializing	1
specify	1
speed	1
spending	1
split	1
spur	1
stack	1
starts	1
stated	1
stems	1
stick	1
streamlined	1
strengthen	1
struggle	1
struggling	1
studied	1
studying	1
stumble	1
stumped	1
submit	1
subscribe	1
subtract	1
subtracting	1
sued	1
suffer	1
suited	1
support	1
suppose	1
suprised	1
surprised	1
sustain	1
switch	1
switched	1
tabbing	1
tag	1
talking	1
taylor	1
tend	1
tended	1
tending	1
tendt	1
testing	1
texted	1
thanks	1
threw	1
thrilled	1
thrown	1
tied	1
tinkering	1
toggling	1
told	1
tool	1
toss	1
touring	1
travel	1
trawling	1
triggering	1
trim	1
trimming	1
tripped	1
tune	1
tuning	1
turned	1
turning	1
typing	1
uncovered	1
undertsand	1
unlocked	1
upcoming	1
update	1
uploaded	1
upvoting	1
ust	1
utilise	1
vary	1
versed	1
viewed	1
visit	1
visited	1
visualizing	1
walking	1
wanna	1
wave	1
whack	1
wise	1
wishing	1
wjen	1
workflow	1
worry	1
written	1
wrote	1
zeroing	1
